CNP0438721,c1ccc2[nH]ncc2c1,CHEMBL392184,Clc1ccc2cn[nH]c2c1
CNP0438721,c1ccc2[nH]ncc2c1,CHEMBL247365,Brc1ccc2cn[nH]c2c1
LTS0212631,COc1cc(/C=C/c2ccccc2)cc(OC)c1,CHEMBL65214,COc1cc(/C=C/c2ccc(Br)cc2)cc(OC)c1
CNP0472878,COc1ccc(OC)c(CCN)c1,CHEMBL292821,COc1cc(CCN)c(OC)cc1Br
CNP0235237,CN(C)CCCN1c2ccccc2Sc2ccccc21,CHEMBL71,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
CNP0311205,O=C(O)CC(Cc1ccccc1)C(=O)O,CHEMBL573415,O=C(O)CC(Cc1ccccc1Cl)C(=O)O
CNP0309393.1,Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O,CHEMBL1256387,Cc1cn([C@@H]2O[C@H](CO)C=C2F)c(=O)[nH]c1=O
LTS0259934,COC(=O)[C@@H]1[C@@H](c2ccccc2)[C@]2(c3ccc(OC)cc3)Oc3cc(OC)cc(OC)c3[C@]2(O)[C@@H]1O,CHEMBL2179342,COC(=O)[C@@H]1[C@@H](c2cccc(F)c2)[C@]2(c3ccc(OC)cc3)Oc3cc(OC)cc(OC)c3[C@]2(O)[C@@H]1O
CNP0077780,O=C(CCCCCCC(=O)Nc1ccccc1)NO,CHEMBL1091578,O=C(CCCCCCC(=O)Nc1ccc(I)cc1)NO
CNP0077780,O=C(CCCCCCC(=O)Nc1ccccc1)NO,CHEMBL1089179,O=C(CCCCCCC(=O)Nc1cccc(Cl)c1)NO
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL4545007,O=c1cc(-c2cc(Cl)cc(Cl)c2)oc2c1ccc1ccccc12
CNP0237359.1,CC(=N)NCCC[C@H](N)C(=O)O,CHEMBL4461206,N=C(CCl)NCCC[C@H](N)C(=O)O
CNP0335087.2,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,CHEMBL1256723,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.Cl
CNP0341416.2,CCCNC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1,CHEMBL1256654,CCCNC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1.Cl
CNP0305090,Cc1ccc2c(c1)[nH]c1ccccc12,CHEMBL1172721,Cc1ccc2c(c1)[nH]c1ccc(F)cc12
LTS0213634,Oc1cccc2cccnc12,CHEMBL1200596,Oc1c(Cl)cc(Cl)c2cccnc12
CNP0136520.1,Oc1cc2c(cc1O)[C@@H](c1ccccc1)CNCC2,CHEMBL1160787,Oc1cc2c(c(Cl)c1O)CCNC[C@@H]2c1ccccc1
LTS0186520,c1ccc2c(Cc3c[nH]c4ccccc34)c[nH]c2c1,CHEMBL583762,Ic1ccc2[nH]cc(Cc3c[nH]c4ccc(I)cc34)c2c1
CNP0230441.3,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CHEMBL464221,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(I)c1F
LTS0197377,c1ccc2c3c([nH]c2c1)CNCC3,CHEMBL6427,Brc1ccc2[nH]c3c(c2c1)CCNC3
LTS0197377,c1ccc2c3c([nH]c2c1)CNCC3,CHEMBL441891,Brc1ccc2c3c([nH]c2c1)CNCC3
CNP0458133.1,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL309834,CCC(CC)O[C@@H]1C(F)=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O
CNP0289936,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,CHEMBL18264,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)C(=O)OC2)cc1
CNP0408391,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,CHEMBL326243,CCOC(=O)C1(c2ccc(Cl)c(Cl)c2)CCN(C)CC1
CNP0454366,COc1ccc2nc(N)sc2c1,CHEMBL744,Nc1nc2ccc(OC(F)(F)F)cc2s1
TCMIP-I-05240,Nc1nc2ccccc2[nH]1,CHEMBL269158,Nc1nc2ccc(Cl)cc2[nH]1
LTS0029480,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,CHEMBL1280,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC.Cl
LTS0063398,OB(O)c1ccccc1,CHEMBL20866,OB(O)c1ccc(Br)cc1
CNP0165651,Nc1c2c(nc3ccccc13)CCCC2O,CHEMBL298577,Nc1c2c(nc3cc(Cl)ccc13)CCCC2O
CNP0415783.3,O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]1,CHEMBL886,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)cc1F
LTS0273941,C[C@@H]1O[C@H](C[N+](C)(C)C)C[C@H]1O,CHEMBL292911,C[C@@H]1O[C@H](C[N+](C)(C)C)C[C@H]1O.[I-]
LTS0034883,CN1C(=N)N/C(=C/c2c[nH]c3ccccc23)C1=O,CHEMBL2442276,CN1C(=N)N/C(=C/c2c[nH]c3ccc(Br)cc23)C1=O
LTS0083657,C[C@H]1CCC/C=C/C(=O)c2c(O)cc(O)cc2CC(=O)O1,CHEMBL4105086,C[C@H]1CCC/C=C/C(=O)c2c(cc(O)c(Cl)c2O)CC(=O)O1
LTS0013446,Nc1ccc(S(N)(=O)=O)cc1,CHEMBL69813,Nc1c(F)cc(S(N)(=O)=O)cc1I
LTS0215857,COC1=CC(=O)c2ccccc2C1=O,CHEMBL350242,COC1=C(Cl)C(=O)c2ccccc2C1=O
LTS0200644,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,CHEMBL55942,O=c1cc(-c2ccccc2)oc2c(Br)c(O)c(Br)c(O)c12
CNP0244671.6,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,CHEMBL1129,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F
